State,ZIP Code,Size of AGI,Number of Returns,Adjust Gross Income
AL,35221,5,20,2359
AL,35221,6,0,0
AL,35222,1,1190,15986
AL,35222,2,830,30347
AL,35222,3,520,32149
AL,35222,4,370,32228
AL,35222,5,530,72366
AL,35222,6,320,136003
AL,35223,1,1140,10505
AL,35223,2,580,21546
AL,35223,3,460,28288
AL,35223,4,370,32257
AL,35223,5,1190,173190
AL,35223,6,1740,1577013
AL,35224,1,1190,16656
AL,35224,2,630,22480
AL,35224,3,220,13190
AL,35224,4,70,5647
AL,35224,5,40,5038
AL,35224,6,0,0
AL,35226,1,3710,41742
AL,35226,2,2790,104375
AL,35226,3,2280,140778
AL,35226,4,1950,169523
AL,35226,5,4210,583698
AL,35226,6,1630,609453
AL,35228,1,2320,32540
AL,35228,2,1280,44597
AL,35228,3,420,25232
AL,35228,4,110,9644
AL,35228,5,90,11453
AL,35228,6,0,0
AL,35233,1,290,3498
AL,35233,2,210,7785
AL,35233,3,170,10315
AL,35233,4,80,6718
AL,35233,5,90,11791
AL,35233,6,40,21085
AL,35234,1,1220,16601
AL,35234,2,530,17813
AL,35234,3,110,6403
AL,35234,4,30,2728
AL,35234,5,20,2414
AL,35234,6,0,0
AL,35235,1,3450,47555
AL,35235,2,3050,110677
AL,35235,3,1430,86628
AL,35235,4,690,59176
AL,35235,5,560,70903
AL,35235,6,50,18607
AL,35242,1,6280,68069
AL,35242,2,4280,157872
AL,35242,3,2930,181149
AL,35242,4,2240,195563
AL,35242,5,5530,783037
AL,35242,6,3990,1865569
AL,35243,1,2310,26296
AL,35243,2,1940,72552
AL,35243,3,1360,83514
AL,35243,4,970,84857
AL,35243,5,1770,249900
AL,35243,6,1530,771563
AL,35244,1,4040,45626
AL,35244,2,3140,116266
AL,35244,3,2060,127252
AL,35244,4,1570,136943
AL,35244,5,3620,504950
AL,35244,6,1510,561376
AL,35401,1,6140,79879
AL,35401,2,2370,82431
AL,35401,3,630,38094
AL,35401,4,270,22947
AL,35401,5,330,44383
